id,name,dynasty_primary,category,is_外戚,is_士人,is_降人,is_佞幸,is_宦官,is_勋贵,n_terms,n_sources,status
P0001,丁恭,,士人,0,0,0,0,0,0,0,0,待审
P0002,丁鸿,,士人,0,0,0,0,0,0,0,0,待审
P0003,严助,,士人,0,0,0,0,0,0,0,0,待审
P0004,乐松,,其他,0,0,0,0,0,0,0,0,待审
P0005,任安,,士人,0,0,0,0,0,0,0,0,待审
P0006,任芝,,其他,0,0,0,0,0,0,0,0,待审
P0007,伍琼,,士人,0,0,0,0,0,0,0,0,待审
P0008,伏完,,外戚,0,0,0,0,0,0,0,0,待审
P0009,伏无忌,,士人,0,0,0,0,0,0,0,0,待审
P0010,何休,,士人,0,0,0,0,0,0,0,0,待审
P0011,何晏,,外戚/士人,0,0,0,0,0,0,0,0,待审
P0012,何进,,外戚,0,0,0,0,0,0,0,0,待审
P0013,佚名侍中（禁中出入制度）,,制度,0,0,0,0,0,0,0,0,待审
P0014,傅俊,,勋贵,0,0,0,0,0,0,0,0,待审
P0015,傅商,,外戚,0,0,0,0,0,0,0,0,待审
P0016,傅喜,,外戚,0,0,0,0,0,0,0,0,待审
P0017,傅嘉,,其他,0,0,0,0,0,0,0,0,待审
P0018,傅巽,,士人,0,0,0,0,0,0,0,0,待审
P0019,公孙敬聲,,阙,0,0,0,0,0,0,0,0,草稿
P0020,关兴,,勋贵,0,0,0,0,0,0,0,0,待审
P0021,关统,,勋贵,0,0,0,0,0,0,0,0,待审
P0022,冯石,,外戚/勋贵,0,0,0,0,0,0,0,0,待审
P0023,刘儒,,士人,0,0,0,0,0,0,0,0,待审
P0024,刘劭,,士人,0,0,0,0,0,0,0,0,待审
P0025,刘宽,,士人,0,0,0,0,0,0,0,0,待审
P0026,刘岱,,士人,0,0,0,0,0,0,0,0,待审
P0027,刘平,,士人,0,0,0,0,0,0,0,0,待审
P0028,刘廙,,士人,0,0,0,0,0,0,0,0,待审
P0029,刘恭,,宗室,0,0,0,0,0,0,0,0,待审
P0030,刘放,,士人,0,0,0,0,0,0,0,0,待审
P0031,刘昆,,士人,0,0,0,0,0,0,0,0,待审
P0032,刘晔,,士人,0,0,0,0,0,0,0,0,待审
P0033,刘棻,,士人,0,0,0,0,0,0,0,0,待审
P0034,刘植,,勋贵,0,0,0,0,0,0,0,0,待审
P0035,刘歆,,士人,0,0,0,0,0,0,0,0,待审
P0036,刘淑,,士人,0,0,0,0,0,0,0,0,待审
P0037,刘珍,,士人,0,0,0,0,0,0,0,0,待审
P0038,刘瑜,,阙,0,0,0,0,0,0,0,0,草稿
P0039,刘瑰,,外戚,0,0,0,0,0,0,0,0,待审
P0040,刘能卿,,其他,0,0,0,0,0,0,0,0,待审
P0041,刘艾,,士人,0,0,0,0,0,0,0,0,待审
P0042,刘茂,,勋贵,0,0,0,0,0,0,0,0,待审
P0043,包咸,,士人,0,0,0,0,0,0,0,0,待审
P0044,华歆,,士人,0,0,0,0,0,0,0,0,待审
P0045,单飏,,士人,0,0,0,0,0,0,0,0,待审
P0046,卫伉,,外戚/勋贵,0,0,0,0,0,0,0,0,待审
P0047,卫臻,,士人,0,0,0,0,0,0,0,0,待审
P0048,卫青,,外戚/勋贵,0,0,0,0,0,0,0,0,待审
P0049,台崇,,其他,0,0,0,0,0,0,0,0,待审
P0050,史丹,,阙,0,0,0,0,0,0,0,0,草稿
P0051,史恃,,阙,0,0,0,0,0,0,0,0,草稿
P0052,史高,,外戚,0,0,0,0,0,0,0,0,待审
P0053,向栩,,士人,0,0,0,0,0,0,0,0,待审
P0054,周举,,士人,0,0,0,0,0,0,0,0,待审
P0055,周广,,其他,0,0,0,0,0,0,0,0,待审
P0056,周毖,,士人,0,0,0,0,0,0,0,0,待审
P0057,周泽,,士人,0,0,0,0,0,0,0,0,待审
P0058,和峤,,阙,0,0,0,0,0,0,0,0,草稿
P0059,和洽,,士人,0,0,0,0,0,0,0,0,待审
P0060,和逌,,士人,0,0,0,0,0,0,0,0,待审
P0061,孔昱,,士人,0,0,0,0,0,0,0,0,待审
P0062,孔永,,其他,0,0,0,0,0,0,0,0,待审
P0063,孔霸,,士人,0,0,0,0,0,0,0,0,待审
P0064,孙峻,,其他,0,0,0,0,0,0,0,0,待审
P0065,孙期,,士人,0,0,0,0,0,0,0,0,待审
P0066,孙綝,,其他,0,0,0,0,0,0,0,0,待审
P0067,孙邕,,士人,0,0,0,0,0,0,0,0,待审
P0068,宋弘,,士人,0,0,0,0,0,0,0,0,待审
P0069,宋登,,士人,0,0,0,0,0,0,0,0,待审
P0070,宗预,,士人,0,0,0,0,0,0,0,0,待审
P0071,宣秉,,士人,0,0,0,0,0,0,0,0,待审
P0072,寇荣,,勋贵,0,0,0,0,0,0,0,0,待审
P0073,尹勋,,士人,0,0,0,0,0,0,0,0,待审
P0074,尹忠,,其他,0,0,0,0,0,0,0,0,待审
P0075,尹敏,,士人,0,0,0,0,0,0,0,0,待审
P0076,常洽,,士人,0,0,0,0,0,0,0,0,待审
P0077,庾峻,,士人,0,0,0,0,0,0,0,0,待审
P0078,廖立,,士人,0,0,0,0,0,0,0,0,待审
P0079,张兴,,士人,0,0,0,0,0,0,0,0,待审
P0080,张千秋,,勋贵,0,0,0,0,0,0,0,0,待审
P0081,张布,,其他,0,0,0,0,0,0,0,0,待审
P0082,张延寿,,勋贵,0,0,0,0,0,0,0,0,待审
P0083,张彭祖,,佞幸/旧恩,0,0,0,0,0,0,0,0,待审
P0084,张放,,外戚/佞幸,0,0,0,0,0,0,0,0,待审
P0085,张湛,,士人,0,0,0,0,0,0,0,0,待审
P0086,张玄,,士人,0,0,0,0,0,0,0,0,待审
P0087,张纯,,士人,0,0,0,0,0,0,0,0,待审
P0088,张绍,,其他,0,0,0,0,0,0,0,0,待审
P0089,张衡,,士人,0,0,0,0,0,0,0,0,待审
P0090,张辟彊,,勋贵,0,0,0,0,0,0,0,0,待审
P0091,张霸,,士人,0,0,0,0,0,0,0,0,待审
P0092,张驯,,士人,0,0,0,0,0,0,0,0,待审
P0093,徐博,,阙,0,0,0,0,0,0,0,0,草稿
P0094,徐宣,,阙,0,0,0,0,0,0,0,0,草稿
P0095,戴凭,,士人,0,0,0,0,0,0,0,0,待审
P0096,承宫,,士人,0,0,0,0,0,0,0,0,待审
P0097,施延,,士人,0,0,0,0,0,0,0,0,待审
P0098,是仪,,士人,0,0,0,0,0,0,0,0,待审
P0099,曹褒,,士人,0,0,0,0,0,0,0,0,待审
P0100,朱买臣,,士人,0,0,0,0,0,0,0,0,待审
P0101,朱展,,其他,0,0,0,0,0,0,0,0,待审
P0102,李仁,,士人,0,0,0,0,0,0,0,0,待审
P0103,李充,,士人,0,0,0,0,0,0,0,0,待审
P0104,李尤,,士人,0,0,0,0,0,0,0,0,待审
P0105,李延年,,其他,0,0,0,0,0,0,0,0,待审
P0106,李棽,,其他,0,0,0,0,0,0,0,0,待审
P0107,李法,,士人,0,0,0,0,0,0,0,0,待审
P0108,李膺,,士人,0,0,0,0,0,0,0,0,待审
P0109,李陵,,勋贵,0,0,0,0,0,0,0,0,待审
P0110,杜乔,,阙,0,0,0,0,0,0,0,0,草稿
P0111,杜辅,,阙,0,0,0,0,0,0,0,0,草稿
P0112,来历,,外戚/勋贵,0,0,0,0,0,0,0,0,待审
P0113,杨伦,,士人,0,0,0,0,0,0,0,0,待审
P0114,杨厚,,士人,0,0,0,0,0,0,0,0,待审
P0115,杨奇,,士人,0,0,0,0,0,0,0,0,待审
P0116,杨彪,,士人,0,0,0,0,0,0,0,0,待审
P0117,杨政,,士人,0,0,0,0,0,0,0,0,待审
P0118,杨文父,,其他,0,0,0,0,0,0,0,0,待审
P0119,杨琦,,士人,0,0,0,0,0,0,0,0,待审
P0120,杨秉,,士人,0,0,0,0,0,0,0,0,待审
P0121,杨统,,士人,0,0,0,0,0,0,0,0,待审
P0122,杨赐,,士人,0,0,0,0,0,0,0,0,待审
P0123,桑弘羊,,士人,0,0,0,0,0,0,0,0,待审
P0124,桓郁,,士人,0,0,0,0,0,0,0,0,待审
P0125,楼望,,士人,0,0,0,0,0,0,0,0,待审
P0126,欧阳地余,,士人,0,0,0,0,0,0,0,0,待审
P0127,江革,,士人,0,0,0,0,0,0,0,0,待审
P0128,淳于恭,,士人,0,0,0,0,0,0,0,0,待审
P0129,淳于长,,外戚,0,0,0,0,0,0,0,0,待审
P0130,爰延,,士人,0,0,0,0,0,0,0,0,待审
P0131,王允,,士人,0,0,0,0,0,0,0,0,待审
P0132,王况,,外戚,0,0,0,0,0,0,0,0,待审
P0133,王凤,,外戚,0,0,0,0,0,0,0,0,待审
P0134,王去疾,,外戚,0,0,0,0,0,0,0,0,待审
P0135,王参,,外戚,0,0,0,0,0,0,0,0,待审
P0136,王商,,外戚,0,0,0,0,0,0,0,0,待审
P0137,王奇,,外戚,0,0,0,0,0,0,0,0,待审
P0138,王忽,,其他,0,0,0,0,0,0,0,0,待审
P0139,王接,,阙,0,0,0,0,0,0,0,0,草稿
P0140,王方,,士人,0,0,0,0,0,0,0,0,待审
P0141,王望,,其他,0,0,0,0,0,0,0,0,待审
P0142,王林卿,,外戚,0,0,0,0,0,0,0,0,待审
P0143,王歙,,阙,0,0,0,0,0,0,0,0,待审
P0144,王沈,,士人,0,0,0,0,0,0,0,0,待审
P0145,王粲,,士人,0,0,0,0,0,0,0,0,待审
P0146,王能,,阙,0,0,0,0,0,0,0,0,草稿
P0147,王舜,,外戚,0,0,0,0,0,0,0,0,待审
P0148,王莽,,外戚,0,0,0,0,0,0,0,0,待审
P0149,王蕃,,士人,0,0,0,0,0,0,0,0,待审
P0150,王辅,,其他,0,0,0,0,0,0,0,0,待审
P0151,王逸,,士人,0,0,0,0,0,0,0,0,待审
P0152,王邑,,外戚,0,0,0,0,0,0,0,0,待审
P0153,王闳,,阙,0,0,0,0,0,0,0,0,草稿
P0154,王音,,阙,0,0,0,0,0,0,0,0,草稿
P0155,王龚,,士人,0,0,0,0,0,0,0,0,待审
P0156,班伯,,士人,0,0,0,0,0,0,0,0,待审
P0157,璩（待考）,,待考,0,0,0,0,0,0,0,0,待审
P0158,甄邯,,外戚,0,0,0,0,0,0,0,0,待审
P0159,种劭,,士人,0,0,0,0,0,0,0,0,待审
P0160,种辑,,士人,0,0,0,0,0,0,0,0,待审
P0161,窦宪,,外戚,0,0,0,0,0,0,0,0,待审
P0162,窦机,,外戚,0,0,0,0,0,0,0,0,待审
P0163,耿承,,外戚,0,0,0,0,0,0,0,0,待审
P0164,耿箕,,外戚,0,0,0,0,0,0,0,0,待审
P0165,耿纪,,士人,0,0,0,0,0,0,0,0,待审
P0166,苏武,,士人,0,0,0,0,0,0,0,0,待审
P0167,荀勖,,士人,0,0,0,0,0,0,0,0,待审
P0168,荀悦,,阙,0,0,0,0,0,0,0,0,草稿
